caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
A man is in a kitchen making pizzas.,8,150,138,0,5,168,2365
Man in apron standing on front of oven with pans and bakeware,12,210,210,0,5,32,157
A baker is working in the kitchen rolling dough.,9,186,186,0,5,1038,2947
A person standing by a stove in a kitchen.,9,162,138,0,5,3,5
A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,21,330,282,0,5,2322,13201
The dining table near the kitchen has a bowl of fruit on it.,13,210,198,0,5,1250,5196
A small kitchen has various appliances and a table.,9,150,138,0,3,4,3
The kitchen is clean and ready for us to see.,10,222,222,0,6,31,337
A kitchen and dining area decorated in white.,8,150,150,0,5,274,1093
A kitchen that has a bowl of fruit on the table.,11,198,186,0,5,811,4417
a person with a shopping cart on a city street ,10,162,138,0,3,227,1139
City dwellers walk by as a homeless man begs for cash.,11,198,198,0,5,1012,5571
People walking past a homeless man begging on a city street,11,198,186,0,5,962,6983
a homeless man holding a cup and standing next to a shopping cart on a street,16,270,234,0,6,176,1483
People are walking on the street by a homeless person.,10,198,198,0,5,518,4168
A person on a skateboard and bike at a skate park.,11,174,150,0,3,1154,1810
A man on a skateboard performs a trick at the skate park,12,198,174,0,5,6,43
A skateboarder jumps into the air as he performs a skateboard trick.,12,210,198,0,5,29,267
Athletes performing tricks on a BMX bicycle and a skateboard.,10,162,150,0,3,8,337
a man falls off his skateboard in a skate park.,10,186,174,0,5,81,265
a blue bike parked on a side walk ,8,150,138,0,5,0,1
A bicycle is chained to a fixture on a city street,11,186,162,0,4,130,1394
A blue bicycle sits on a sidewalk near a street.,10,186,162,0,5,2,2
A bicycle is locked up to a post,8,162,150,0,4,54,341
a bike sits parked next to a street ,8,162,150,0,5,0,9
A bathroom that has a broken wall in the shower.,10,174,162,0,4,58,213
A bathroom looks clean but is missing tile at the shower stall.,12,246,246,0,6,59,478
A view of a bathroom that needs to be fixed up.,11,234,222,0,4,492,1349
a shower toilet and sink in a basement bathroom,9,150,138,0,3,185,627
A very big whit rest room with a shabby looking shower.,11,186,174,0,4,35,126
a couple of buckets in a white room,8,138,126,0,3,1171,3329
A bathroom with no toilets and a red and green bucket. ,11,198,186,0,6,48,43
"a shower room with two buckets, tolet paper holder and soap.",11,174,174,0,3,90,479
A standing toilet in a bathroom next to a window.,10,162,138,0,3,55,56
This picture looks like a janitors closet with buckets on the floor.,12,186,186,0,3,2828,8821
The shiny motorcycle has been put on display.,8,162,162,0,4,32,425
The new motorcycle on display is very shiny.,8,162,162,0,4,215,2172
A motorcycle is parked inside of a building.,8,162,150,0,5,20,97
A brand new motorcycle on display at a show.,9,162,150,0,4,39,442
The front end of a red motorcycle that is on display.,11,186,186,0,4,30,219
A row of white toilets sitting on top of a dirt ground.,12,198,168,0,5,43,543
A bunch of dirty looking white toilets in a row outside.,11,186,174,0,4,4,114
There is a row of used and broken toilets in a field.,12,222,210,0,6,285,2496
A row of toilets with broken seat tops on the ground.,11,174,174,0,3,3,45
LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN,9,174,174,0,5,66,555
A small closed toilet in a cramped space.,8,138,126,0,3,16,50
A tan toilet and sink combination in a small room.,10,162,150,0,3,29,72
This is an advanced toilet with a sink and control panel.,11,174,174,0,3,12,1037
A close-up picture of a toilet with a fountain.,9,150,126,0,3,816,3747
Off white toilet with a faucet and controls. ,8,150,150,0,4,169,482
People are walking and riding motorcycles on the street,9,222,222,0,9,7,39
A group of motorists pass very large buildings in asia. ,10,186,186,0,5,106,861
A bunch of bikers are gathered on a city street. ,10,186,174,0,5,32,84
"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings",17,270,270,0,5,49,203
A view of motorcyclists riding their bikes through heavy city traffic.,11,198,198,0,5,137,2118
a person sitting at a desk with a keyboard and monitor ,11,186,162,0,5,92,551
a woman at her desk sits intently and happy,9,234,234,0,12,206,2500
A woman sitting at a desk in her work station,10,174,162,0,5,8,66
The woman is working on her computer at the desk.,10,186,174,0,5,10,99
a woman is sitting in front of a desk,9,174,162,0,5,8,14
"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.",21,318,270,0,4,25,49
a building with dirty walls and dirty doors,8,138,126,0,3,170,2925
a run down building with two planters outside the door,10,174,174,0,4,0,84
a yellow and brown wall a gray door and a sign ,11,198,186,0,6,83,666
A plaster external wall with multiple old paper images attached.,10,162,162,0,3,1055,7345
A fluffy white chair that faces away fro a television.,10,186,174,0,4,699,3897
A pillow covered reading chair in the corner of the living room,12,198,186,0,4,104,436
The living room is empty with the television on. ,9,186,174,0,5,267,1889
White ornate seat in nicely decorated room with television.,9,162,162,0,4,103,649
"A white chair, books and shelves and a tv on in this room.",13,198,168,0,3,0,5
A painting of a table with fruit on top of it.,11,174,162,0,3,68,360
"Painting of oranges, a bowl, candle, and a pitcher",9,150,150,0,3,2511,15458
a painting of fruit and a candle with a vase,10,162,138,0,3,112,229
"A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.",23,330,240,0,4,64,209
A painting that has a gold frame on it.,9,174,162,0,5,90,331
A large jetliner sitting on top of an airport runway.,10,174,174,0,5,23,45
Airline employees by an aircraft parked at the gate,9,162,162,0,5,3820,17260
The plane is parked at the gate at the airport terminal.,11,198,174,0,5,20,29
View from gate of jet connected to jet way for passengers to board or deplane,15,270,270,0,6,113,250
A large white airplane and a person on a lot.,10,162,138,0,3,0,0
Set of toy animals sitting in front of a red wooden wagon.,12,198,180,0,5,340,786
"Several toy animals - a bull, giraffe, deer and parakeet.",10,150,150,0,3,3076,20180
Some toy animals on the ground near a picture,9,150,150,0,3,164,162
Children's toy animals are strewn across a floor.,8,162,162,0,5,86,1119
A display of vintage animal toys on the floor.,9,150,150,0,3,383,997
 a bench sitting in the grass facing the water and boats ,11,186,174,0,5,4,67
A wooden bench overlooking a harbor beneath a cloudy sky.,10,162,138,0,3,30,114
A beach has a grassy area with a park beach.,10,162,132,0,3,133,367
A bench that is sitting in the grass.,8,174,174,0,5,473,731
A bench at the beach next to the sea,9,150,138,0,3,0,10
a flock of goats and some men watching them,9,150,150,0,3,265,2530
a man and a large herd of goats in a desert setting.,12,186,162,0,3,384,876
The nomadic sheepherd walks behind a large group of livestock in their desert habitat.,14,234,234,0,5,229,775
