caption,words,operands,distinct_symbols,unseen_symbols,max_type_arity,rank_of_image,rank_among_captions
A man is in a kitchen making pizzas.,8,684,612,0,5,57,283
Man in apron standing on front of oven with pans and bakeware,12,1044,1044,0,5,159,584
A baker is working in the kitchen rolling dough.,9,900,900,0,5,433,1966
A person standing by a stove in a kitchen.,9,756,612,0,5,60,197
A table with pies being made and a person standing near a wall with pots and pans hanging on the wall.,21,1764,1476,0,5,430,2148
The dining table near the kitchen has a bowl of fruit on it.,13,1044,972,0,5,273,502
A small kitchen has various appliances and a table.,9,684,612,0,3,18,24
The kitchen is clean and ready for us to see.,10,1116,1116,0,6,31,64
A kitchen and dining area decorated in white.,8,684,684,0,5,24,184
A kitchen that has a bowl of fruit on the table.,11,972,900,0,5,16,242
a person with a shopping cart on a city street ,10,756,612,0,3,33,315
City dwellers walk by as a homeless man begs for cash.,11,972,972,0,5,900,5367
People walking past a homeless man begging on a city street,11,972,900,0,5,172,792
a homeless man holding a cup and standing next to a shopping cart on a street,16,1404,1188,0,6,28,68
People are walking on the street by a homeless person.,10,972,972,0,5,227,1104
A person on a skateboard and bike at a skate park.,11,828,684,0,3,6,199
A man on a skateboard performs a trick at the skate park,12,972,828,0,5,70,461
A skateboarder jumps into the air as he performs a skateboard trick.,12,1044,972,0,5,72,286
Athletes performing tricks on a BMX bicycle and a skateboard.,10,756,684,0,3,1,57
a man falls off his skateboard in a skate park.,10,900,828,0,5,5,190
a blue bike parked on a side walk ,8,684,612,0,5,1,4
A bicycle is chained to a fixture on a city street,11,900,756,0,4,4,38
A blue bicycle sits on a sidewalk near a street.,10,900,756,0,5,0,2
A bicycle is locked up to a post,8,756,684,0,4,11,69
a bike sits parked next to a street ,8,756,684,0,5,1,22
A bathroom that has a broken wall in the shower.,10,828,756,0,4,43,139
A bathroom looks clean but is missing tile at the shower stall.,12,1260,1260,0,6,29,402
A view of a bathroom that needs to be fixed up.,11,1188,1116,0,4,112,465
a shower toilet and sink in a basement bathroom,9,684,612,0,3,71,514
A very big whit rest room with a shabby looking shower.,11,900,828,0,4,149,581
a couple of buckets in a white room,8,612,540,0,3,269,910
A bathroom with no toilets and a red and green bucket. ,11,972,900,0,6,4,87
"a shower room with two buckets, tolet paper holder and soap.",11,828,828,0,3,48,456
A standing toilet in a bathroom next to a window.,10,756,612,0,3,2,19
This picture looks like a janitors closet with buckets on the floor.,12,900,900,0,3,2536,8850
The shiny motorcycle has been put on display.,8,756,756,0,4,0,1
The new motorcycle on display is very shiny.,8,756,756,0,4,15,379
A motorcycle is parked inside of a building.,8,756,684,0,5,7,11
A brand new motorcycle on display at a show.,9,756,684,0,4,4,61
The front end of a red motorcycle that is on display.,11,900,900,0,4,14,152
A row of white toilets sitting on top of a dirt ground.,12,972,792,0,5,0,1
A bunch of dirty looking white toilets in a row outside.,11,900,828,0,4,45,138
There is a row of used and broken toilets in a field.,12,1116,1044,0,6,14,285
A row of toilets with broken seat tops on the ground.,11,828,828,0,3,0,5
LOTS OF BROKEN TOILETS SITTING OUT ON A LAWN,9,828,828,0,5,3,33
A small closed toilet in a cramped space.,8,612,540,0,3,128,159
A tan toilet and sink combination in a small room.,10,756,684,0,3,291,798
This is an advanced toilet with a sink and control panel.,11,828,828,0,3,321,1089
A close-up picture of a toilet with a fountain.,9,684,540,0,3,18,183
Off white toilet with a faucet and controls. ,8,684,684,0,4,203,946
People are walking and riding motorcycles on the street,9,1116,1116,0,9,2,28
A group of motorists pass very large buildings in asia. ,10,900,900,0,5,21,295
A bunch of bikers are gathered on a city street. ,10,900,828,0,5,19,169
"people ride their motorcycles beside some cars, passing by an empty street with stores and apartment buildings",17,1404,1404,0,5,2,11
A view of motorcyclists riding their bikes through heavy city traffic.,11,972,972,0,5,318,2549
a person sitting at a desk with a keyboard and monitor ,11,900,756,0,5,165,632
a woman at her desk sits intently and happy,9,1188,1188,0,12,272,950
A woman sitting at a desk in her work station,10,828,756,0,5,3,34
The woman is working on her computer at the desk.,10,900,828,0,5,2,52
a woman is sitting in front of a desk,9,828,756,0,5,0,2
"A building wall and pair of doors that are open, along with vases of flowers on the outside of the building.",21,1692,1404,0,4,0,0
a building with dirty walls and dirty doors,8,612,540,0,3,16,231
a run down building with two planters outside the door,10,828,828,0,4,16,280
a yellow and brown wall a gray door and a sign ,11,972,900,0,6,15,255
A plaster external wall with multiple old paper images attached.,10,756,756,0,3,86,543
A fluffy white chair that faces away fro a television.,10,900,828,0,4,1696,8690
A pillow covered reading chair in the corner of the living room,12,972,900,0,4,73,450
The living room is empty with the television on. ,9,900,828,0,5,12,131
White ornate seat in nicely decorated room with television.,9,756,756,0,4,105,917
"A white chair, books and shelves and a tv on in this room.",13,972,792,0,3,72,475
A painting of a table with fruit on top of it.,11,828,756,0,3,2,1
"Painting of oranges, a bowl, candle, and a pitcher",9,684,684,0,3,604,4710
a painting of fruit and a candle with a vase,10,756,612,0,3,63,212
"A painting of a candlestick holder with a candle, several pieces of fruit and a vase, with a gold frame around the painting.",23,1764,1224,0,4,38,44
A painting that has a gold frame on it.,9,828,756,0,5,156,941
A large jetliner sitting on top of an airport runway.,10,828,828,0,5,23,41
Airline employees by an aircraft parked at the gate,9,756,756,0,5,973,3169
The plane is parked at the gate at the airport terminal.,11,972,828,0,5,0,2
View from gate of jet connected to jet way for passengers to board or deplane,15,1404,1404,0,6,0,10
A large white airplane and a person on a lot.,10,756,612,0,3,16,45
Set of toy animals sitting in front of a red wooden wagon.,12,972,864,0,5,29,94
"Several toy animals - a bull, giraffe, deer and parakeet.",10,684,684,0,3,116,528
Some toy animals on the ground near a picture,9,684,684,0,3,368,1537
Children's toy animals are strewn across a floor.,8,756,756,0,5,1,11
